AMDuProfPcm Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Name:,AMD Ryzen 5 7600 6-Core Processor              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System:,Family(0x19) Model(0x61) Stepping(0x2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating System:,Linux 6.14.0-33-generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Sockets :,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Core Complexes(CCX) :,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Cores :,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Threads :,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled in HW:,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled by OS :,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU Topology:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socket, CCX, Core(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0, 0 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core P0 state frequency (MHz):,3801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplex interval for core (ms):,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplex interval for l3 (ms):,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplex interval for df (ms):,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample interval (ms):,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Driver:,Linux Perf Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMI Watchdog Enabled:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,5.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervisor Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervisor Enabled:,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Adaboost/AMDC_AMDS_micro_performance_adaboost.csv -- ../Adaboost/client",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviation :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPC    : Instructions Per CPU Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI    : CPU Cycles Per Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pti    : Per Thousand Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptc    : Per Thousand CPU Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
